"","virus","kpred","kest","mspe","rmspe"
"1","AHNV",0.269279069921053,0.05234,0.0470625600582117,0.216939069921053
"2","CCV",0.277801719716565,0.2818,1.59862452249083e-05,0.00399828028343541
"3","CVB5_Faulkner",0.273295840857573,0.3312,0.00335289164599155,0.0579041591424273
"4","CVB6_Schmitt",0.275121711425176,0.3555,0.00646066927421765,0.0803782885748238
"5","EMC",0.262234992582584,0.3498,0.0076676305240121,0.0875650074174159
"6","EV1_Farouk",0.270715913143382,0.4137,0.0204444490942209,0.142984086856618
"7","EV11",0.275115711781257,0.2767,2.50996916004896e-06,0.00158428821874335
"8","EV12",0.275375937403226,0.2888,0.000180205456602105,0.0134240625967739
"9","FCV",0.27265906309824,0.314880157458307,0.00178262080896167,0.0422210943600668
"10","FR",0.26862423463094,0.09392,0.0305215695979826,0.17470423463094
"11","GA",0.26933777162582,0.0954303464139939,0.0302437925438067,0.173907425211826
"12","HAV",0.274450810922985,0.390792080640361,0.0135352910394513,0.116341269717376
"13","HEV",0.275738170582861,0.3801,0.010891391439292,0.104361829417139
"14","MNV_CW3",0.271996883606339,0.310831247084483,0.00150810778675257,0.0388343634781436
"15","MS2",0.282563012348371,0.0899929868154576,0.037083214733747,0.192570025532914
"16","PV1_Mahoney",0.273447924205822,0.2933,0.000394104913337776,0.0198520757941777
"17","PV1_Sabin",0.274336055670076,0.289493566093692,0.000229750122242035,0.0151575104236162
"18","QB",0.270815208809169,0.186686178802259,0.00707769368990344,0.0841290300069093
"19","VEEV",0.279333001836219,0.4395,0.0256534673007966,0.160166998163781
