"","study","virus","k","se","class","outlier"
"1",54,"AdV1",0.07015,0.004337,"dsdna",FALSE
"2",77,"AdV15",0.05352,0.002561,"dsdna",FALSE
"3",2,"AdV2",0.1008,0.00663,"dsdna",FALSE
"4",5,"AdV2",0.05887,0.00199,"dsdna",FALSE
"5",7,"AdV2",0.063,0.005001,"dsdna",FALSE
"6",12,"AdV2",0.04526,0.004774,"dsdna",FALSE
"7",13,"AdV2",0.04464,0.003535,"dsdna",FALSE
"8",17,"AdV2",0.03568,0.00384,"dsdna",FALSE
"9",21,"AdV2",0.09124,0.01176,"dsdna",FALSE
"10",23,"AdV2",0.059,NA,"dsdna",FALSE
"11",45,"AdV2",0.08725,0.0007217,"dsdna",FALSE
"12",60,"AdV2",0.07271,0.003798,"dsdna",FALSE
"13",61,"AdV2",0.06357,0.006508,"dsdna",FALSE
"14",63,"AdV2",0.07792,0.00821,"dsdna",FALSE
"15",77,"AdV2",0.05469,0.001679,"dsdna",FALSE
"16",82,"AdV2",0.07068,0.002056,"dsdna",FALSE
"17",93,"AdV2",0.05127,0.004205,"dsdna",FALSE
"18",45,"AdV40_Dugan",0.06661,0.01414,"dsdna",FALSE
"19",52,"AdV40_Dugan",0.0762,0.00139,"dsdna",FALSE
"20",78,"AdV40_Dugan",0.04037,0.002809,"dsdna",FALSE
"21",93,"AdV40_Dugan",0.0768,NA,"dsdna",FALSE
"22",101,"AdV40_Dugan",0.0661,NA,"dsdna",FALSE
"23",101,"AdV40_Dugan",0.0686,NA,"dsdna",FALSE
"24",102,"AdV40_Dugan",0.04061,0.002967,"dsdna",FALSE
"25",5,"AdV41_Tak",0.03716,0.002216,"dsdna",FALSE
"26",19,"AdV41_Tak",0.02108,0.001675,"dsdna",FALSE
"27",37,"AdV41_Tak",0.04135,0.002216,"dsdna",FALSE
"28",52,"AdV41_Tak",0.08171,0.002461,"dsdna",FALSE
"29",93,"AdV41_Tak",0.06961,0.003489,"dsdna",FALSE
"30",101,"AdV41_Tak",0.0507,NA,"dsdna",FALSE
"31",101,"AdV41_Tak",0.0672,NA,"dsdna",FALSE
"32",101,"AdV41_Tak_redrepair",0.1605,NA,"dsdna",FALSE
"33",5,"AdV5",0.05982,0.001797,"dsdna",FALSE
"34",58,"AdV5",0.04696,0.001328,"dsdna",FALSE
"35",62,"AdV5",0.0481,0.003272,"dsdna",FALSE
"36",96,"AdV5",0.04725,0.001566,"dsdna",FALSE
"37",101,"AdV5",0.0608,NA,"dsdna",FALSE
"38",101,"AdV5",0.0746,NA,"dsdna",FALSE
"39",101,"AdV5_redrepair",0.1761,NA,"dsdna",FALSE
"40",54,"AdV6_Tonsil99",0.07246,0.004255,"dsdna",FALSE
"41",44,"AHNV",0.05234,0.004142,"plusssrna",FALSE
"42",20,"B124",0.22796,NA,"dsdna",FALSE
"43",20,"B124",0.23256,NA,"dsdna",FALSE
"44",20,"B124",0.24638,NA,"dsdna",FALSE
"45",20,"B124",0.26019,NA,"dsdna",FALSE
"46",20,"B124",0.2694,NA,"dsdna",FALSE
"47",20,"B124",0.27861,NA,"dsdna",FALSE
"48",20,"B124",0.32006,NA,"dsdna",FALSE
"49",72,"B40-8",0.3505,0.04254,"dsdna",FALSE
"50",73,"B40-8",0.3553,0.01418,"dsdna",FALSE
"51",93,"BCV",0.4321,0.01085,"plusssrna",FALSE
"52",33,"CCV",0.2818,0.03428,"plusssrna",FALSE
"53",23,"CVB3",0.2878,NA,"plusssrna",FALSE
"54",4,"CVB5_Faulkner",0.3312,0.01047,"plusssrna",FALSE
"55",23,"CVB5_Faulkner",0.2558,NA,"plusssrna",FALSE
"56",50,"CVB6_Schmitt",0.3555,0.03899,"plusssrna",FALSE
"57",89,"EMC",0.3498,0.004609,"plusssrna",FALSE
"58",92,"EMC",0.4467,NA,"plusssrna",FALSE
"59",23,"EV1_Farouk",0.2791,NA,"plusssrna",FALSE
"60",93,"EV1_Farouk",0.4137,0.01127,"plusssrna",FALSE
"61",23,"EV11",0.3289,NA,"plusssrna",FALSE
"62",90,"EV11",0.2767,0.017,"plusssrna",FALSE
"63",56,"EV12",0.2888,0.02836,"plusssrna",FALSE
"64",97,"F2",0.1092,0.004634,"plusssrna",FALSE
"65",33,"FCV",0.2234,0.04903,"plusssrna",FALSE
"66",56,"FCV",0.3492,0.01447,"plusssrna",FALSE
"67",74,"FCV",0.3386,0.01152,"plusssrna",FALSE
"68",78,"FCV",0.268,0.01616,"plusssrna",FALSE
"69",102,"FCV",0.2645,0.02007,"plusssrna",FALSE
"70",92,"fd",0.9955,NA,"ssdna",FALSE
"71",66,"FR",0.09392,0.002998,"plusssrna",FALSE
"72",92,"FR",0.1404,NA,"plusssrna",FALSE
"73",66,"GA",0.09559,0.00288,"plusssrna",FALSE
"74",67,"GA",0.09499,0.004783,"plusssrna",FALSE
"75",4,"HAV",0.5641,0.04839,"plusssrna",FALSE
"76",87,"HAV",0.2861,0.03761,"plusssrna",FALSE
"77",26,"HEV",0.3801,0.04781,"plusssrna",FALSE
"78",43,"IPNV",0.06254,0.008117,"dsrna",FALSE
"79",44,"IPNV",0.02727,0.001207,"dsrna",FALSE
"80",55,"IPNV",0.04833,0.00371,"dsrna",FALSE
"81",44,"ISAV",0.845,0.132,"negssrna",FALSE
"82",55,"ISAV",2.018,0.4563,"negssrna",FALSE
"83",39,"lambda",0.3814,0.009356,"dsdna",FALSE
"84",48,"lambda",0.5683,0.01218,"dsdna",FALSE
"85",40,"MNV_CW3",0.3172,0.02728,"plusssrna",FALSE
"86",56,"MNV_CW3",0.3092,0.006932,"plusssrna",FALSE
"87",85,"MNV_CW3",0.3546,0.04152,"plusssrna",FALSE
"88",1,"MS2",0.1156,0.003123,"plusssrna",FALSE
"89",3,"MS2",0.09276,0.002879,"plusssrna",FALSE
"90",4,"MS2",0.07022,0.005817,"plusssrna",FALSE
"91",6,"MS2",0.1155,0.009918,"plusssrna",FALSE
"92",8,"MS2",0.1084,0.007776,"plusssrna",FALSE
"93",9,"MS2",0.1314,0.007199,"plusssrna",FALSE
"94",10,"MS2",0.116,0.004784,"plusssrna",FALSE
"95",14,"MS2",0.07004,0.002488,"plusssrna",FALSE
"96",15,"MS2",0.1063,0.0175,"plusssrna",FALSE
"97",16,"MS2",0.104,0.006526,"plusssrna",FALSE
"98",17,"MS2",0.08591,0.004596,"plusssrna",FALSE
"99",18,"MS2",0.1197,0.001583,"plusssrna",FALSE
"100",22,"MS2",0.1207,0.01056,"plusssrna",FALSE
"101",26,"MS2",0.1127,0.00323,"plusssrna",FALSE
"102",27,"MS2",0.1119,0.008083,"plusssrna",FALSE
"103",29,"MS2",0.09827,0.002356,"plusssrna",FALSE
"104",32,"MS2",0.1113,0.004568,"plusssrna",FALSE
"105",33,"MS2",0.1278,0.008606,"plusssrna",FALSE
"106",34,"MS2",0.1013,0.004457,"plusssrna",FALSE
"107",35,"MS2",0.06421,0.00136306,"plusssrna",FALSE
"108",36,"MS2",0.1151,0.005397,"plusssrna",FALSE
"109",37,"MS2",0.07613,0.007858,"plusssrna",FALSE
"110",40,"MS2",0.1243,0.01096,"plusssrna",FALSE
"111",41,"MS2",0.1421,0.01494,"plusssrna",FALSE
"112",46,"MS2",0.1124,0.01668,"plusssrna",FALSE
"113",49,"MS2",0.1138,0.002149,"plusssrna",FALSE
"114",51,"MS2",0.1237,0.005035,"plusssrna",FALSE
"115",52,"MS2",0.1407,0.003856,"plusssrna",FALSE
"116",53,"MS2",0.1059,0.002585,"plusssrna",FALSE
"117",54,"MS2",0.0782879,0.0052959,"plusssrna",FALSE
"118",56,"MS2",0.1308,0.008001,"plusssrna",FALSE
"119",59,"MS2",0.143,NA,"plusssrna",FALSE
"120",63,"MS2",0.133,0.01014,"plusssrna",FALSE
"121",64,"MS2",0.1593,0.005626,"plusssrna",FALSE
"122",65,"MS2",0.1373,0.0124,"plusssrna",FALSE
"123",66,"MS2",0.08616,0.002998,"plusssrna",FALSE
"124",67,"MS2",0.09103,0.003908,"plusssrna",FALSE
"125",70,"MS2",0.07142,0.0009141,"plusssrna",FALSE
"126",72,"MS2",0.1268,0.003702,"plusssrna",FALSE
"127",73,"MS2",0.1252,0.004245,"plusssrna",FALSE
"128",75,"MS2",0.1235,0.005523,"plusssrna",FALSE
"129",76,"MS2",0.1169,0.005982,"plusssrna",FALSE
"130",77,"MS2",0.08334,0.001704,"plusssrna",FALSE
"131",78,"MS2",0.06741,0.00122,"plusssrna",FALSE
"132",79,"MS2",0.1252,0.006939,"plusssrna",FALSE
"133",80,"MS2",0.1338,0.009942,"plusssrna",FALSE
"134",81,"MS2",0.141,0.008088,"plusssrna",FALSE
"135",83,"MS2",0.1731,0.013,"plusssrna",FALSE
"136",84,"MS2",0.1059,0.00256,"plusssrna",FALSE
"137",85,"MS2",0.07191,0.003064,"plusssrna",FALSE
"138",86,"MS2",0.08223,0.003029,"plusssrna",FALSE
"139",87,"MS2",0.1221,0.003264,"plusssrna",FALSE
"140",92,"MS2",0.14,NA,"plusssrna",FALSE
"141",92,"MS2",0.14,NA,"plusssrna",FALSE
"142",92,"MS2",0.14,NA,"plusssrna",FALSE
"143",93,"MS2",0.1235,0.003438,"plusssrna",FALSE
"144",94,"MS2",0.1374,0.006858,"plusssrna",FALSE
"145",95,"MS2",0.1023,0.007506,"plusssrna",FALSE
"146",96,"MS2",0.09967,0.002903,"plusssrna",FALSE
"147",98,"MS2",0.1344,0.006681,"plusssrna",FALSE
"148",103,"MS2",0.0825,0.003525,"plusssrna",FALSE
"149",99,"parvoH1",0.9944,0.004914,"ssdna",FALSE
"150",88,"phi6",0.0669,0.002628,"dsrna",FALSE
"151",1,"phiX174",0.8098,0.08337,"ssdna",FALSE
"152",4,"phiX174",1.053,0.08587,"ssdna",FALSE
"153",24,"phiX174",0.57564627,0.02398526,"ssdna",FALSE
"154",25,"phiX174",1.275,0.04136,"ssdna",FALSE
"155",30,"phiX174",0.776,0.01805,"ssdna",FALSE
"156",39,"phiX174",0.708,0.2059,"ssdna",FALSE
"157",59,"phiX174",1.0349,NA,"ssdna",FALSE
"158",72,"phiX174",0.9094,0.02049,"ssdna",FALSE
"159",73,"phiX174",0.9428,0.03244,"ssdna",FALSE
"160",79,"phiX174",0.292,0.01299,"ssdna",FALSE
"161",92,"phiX174",1.1104,NA,"ssdna",FALSE
"162",92,"PMV",0.0332,NA,"dsdna",FALSE
"163",17,"PMV_JC",0.03859,0.003116,"dsdna",FALSE
"164",38,"PMV_Toronto",0.04697,0.00378,"dsdna",FALSE
"165",1,"PRD-1",0.1858,0.005279,"dsdna",FALSE
"166",24,"PRD-1",0.21929382,0.01355272,"dsdna",FALSE
"167",36,"PRD-1",0.1205,0.0072,"dsdna",FALSE
"168",52,"PRD-1",0.3081,0.01363,"dsdna",FALSE
"169",59,"PRD-1",0.2558,NA,"dsdna",FALSE
"170",63,"PRD-1",0.08382,0.003611,"dsdna",FALSE
"171",28,"PV1_Mahoney",0.2933,0.007709,"plusssrna",FALSE
"172",23,"PV1_Sabin",0.2971,NA,"plusssrna",FALSE
"173",52,"PV1_Sabin",0.3804,0.0362,"plusssrna",FALSE
"174",62,"PV1_Sabin",0.214,0.0205,"plusssrna",FALSE
"175",67,"PV1_Sabin",0.2585,0.01993,"plusssrna",FALSE
"176",77,"PV1_Sabin",0.2115,0.03743,"plusssrna",FALSE
"177",80,"PV1_Sabin",0.431,0.02573,"plusssrna",FALSE
"178",81,"PV1_Sabin",0.3454,NA,"plusssrna",FALSE
"179",87,"PV1_Sabin",0.3007,0.02384,"plusssrna",FALSE
"180",91,"PV1_Sabin",0.3283,0.06078,"plusssrna",FALSE
"181",10,"QB",0.2002,0.005135,"plusssrna",FALSE
"182",34,"QB",0.1693,0.007653,"plusssrna",FALSE
"183",57,"QB",0.1926,0.004069,"plusssrna",FALSE
"184",67,"QB",0.1551,0.007114,"plusssrna",FALSE
"185",96,"QB",0.1898,0.007792,"plusssrna",FALSE
"186",28,"reo1",0.1357,0.008792,"dsrna",FALSE
"187",92,"reo3",0.1914,NA,"dsrna",FALSE
"188",4,"RVSA11",0.2728,0.02098,"dsrna",FALSE
"189",42,"RVSA11",0.2741,0.02288,"dsrna",FALSE
"190",68,"RVSA11",0.152,0.006017,"dsrna",FALSE
"191",87,"RVSA11",0.2419,0.01474,"dsrna",FALSE
"192",91,"RVSA11",0.235,0.01213,"dsrna",FALSE
"193",93,"RVSA11",0.125,0.01092,"dsrna",FALSE
"194",71,"SA_A994",0.2776,0.004891,"dsdna",FALSE
"195",22,"SP8",0.5877,0.05114,"dsdna",FALSE
"196",10,"T1UV",0.547,0.02318,"dsdna",FALSE
"197",39,"T1",0.7109,0.05556,"dsdna",FALSE
"198",47,"T1",0.8113,0.01371,"dsdna",FALSE
"199",59,"T1",0.4772,NA,"dsdna",FALSE
"200",103,"T1UV",0.3345,0.01222,"dsdna",FALSE
"201",47,"T2",5.362,0.1603,"dsdna",FALSE
"202",92,"T2",4.8499,NA,"dsdna",FALSE
"203",11,"T4",2.353,0.08058,"dsdna",FALSE
"204",47,"T4",2.478,0.07481,"dsdna",FALSE
"205",75,"T4",1.831,0.1917,"dsdna",FALSE
"206",76,"T4",1.521,0.07261,"dsdna",FALSE
"207",79,"T4",0.4591,0.05972,"dsdna",FALSE
"208",100,"T4",1.473,0.1199,"dsdna",FALSE
"209",47,"T5",4.363,0.1617,"dsdna",FALSE
"210",47,"T6",5.362,0.07023,"dsdna",FALSE
"211",10,"T7",0.9675,0.111,"dsdna",FALSE
"212",11,"T7",0.5138,0.03586,"dsdna",FALSE
"213",22,"T7",0.5081,0.04867,"dsdna",FALSE
"214",39,"T7",0.7916,0.1783,"dsdna",FALSE
"215",95,"T7",0.4566,0.04519,"dsdna",FALSE
"216",10,"T7M",1.001,0.07174,"dsdna",FALSE
"217",92,"vaccinia",0.8296,NA,"dsdna",FALSE
"218",69,"VEEV",0.4395,0.0116,"plusssrna",FALSE
"219",31,"VHSV",3.768,0.2716,"negssrna",FALSE
"220",55,"VHSV",7.606,0.7558,"negssrna",FALSE
