"","virus","kpred","kest","spe","rspe","perc_error"
"1","AdV1",0.0726246082862946,0.07015,6.12368617059805e-06,0.00247460828629463,0.0352759556136084
"2","AdV15",0.0366213776799267,0.05352,0.000285563436316478,0.0168986223200733,0.315744064276406
"3","AdV2",0.059019521642993,0.0760395012167077,0.000289679704689666,0.0170199795737147,0.223830762976849
"4","AdV40_Dugan",0.0733222090389618,0.0648856380804976,7.1175729537202e-05,0.00843657095846423,0.130022162192468
"5","AdV41_Tak",0.0611837082211871,0.0422475411936957,0.000358578421693051,0.0189361670274914,0.448219387269739
"6","AdV5",0.0567532258853187,0.050013345452136,4.54259882535992e-05,0.00673988043318272,0.134761639563443
"7","AdV6_Tonsil99",0.0610273622238387,0.07246,0.00013070520652091,0.0114326377761613,0.157778605798527
"8","B40-8",0.578223515373926,0.35482,0.0499091306814281,0.223403515373926,0.629624923549761
"9","lambda",0.729718091326331,0.450756228727963,0.0778197207843513,0.278961862598369,0.618875225275536
"10","PRD-1",0.0955600049182004,0.128053718356434,0.00105584141300604,0.0324937134382335,0.253750643521246
"11","T1",0.540755557148695,0.805537465527339,0.0701094590046363,0.264781908378643,0.328702164343537
"12","T2",5.275508751854,5.362,0.00748073600585254,0.0864912481459976,0.0161304080839235
"13","T5",4.50626451564943,4.363,0.0205247214442671,0.143264515649435,0.0328362401213464
"14","T6",5.4070399980183,5.362,0.00202860142148847,0.0450399980183001,0.00839985043235734
"15","T7",0.40584270045409,0.522204327581696,0.0135400282677842,0.116361627127607,0.222827772543502
"16","T7M",0.381310502719335,1.001,0.384015073039964,0.619689497280665,0.619070426853812
